Model,Train Time (s),Val F1,Val Precision,Val Recall,Test F1,Test Precision,Test Recall
Naive Bayes,0.0014946460723876953,0.9914529914529915,0.9830508474576272,1.0,0.9783549783549783,0.9826086956521739,0.9741379310344828
RandomForest,0.4179832935333252,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.9736842105263158,0.9910714285714286,0.9568965517241379
SVM (Linear),0.004197597503662109,0.9646017699115044,0.990909090909091,0.9396551724137931,0.96,0.9908256880733946,0.9310344827586207
Logistic Regression,0.007849693298339844,0.9646017699115044,0.990909090909091,0.9396551724137931,0.96,0.9908256880733946,0.9310344827586207
